Sentier,Description,Longueur et durée,Degré de difficulté,Lieu de départ,Recommandé aux familles
"La Grande-Chute
Les chiens sont admis dans ce sentier, selon certaines conditions.","Un court sentier qui vous emmènera jusqu’au coeur de la chute! Endroit idéal pour pique-niquer en famille, ce sentier et son mini-parcours d'hébertisme fera le bonheur des enfants!
Accessible aux personnes à mobilité réduite","1,2 km (aller-retour)
45 min.",Facile,Stationnement de la Grande-Chute. Accès par le chemin de la rivière Kipawa.,"Oui, mais la supervision d'un adulte est recommandée (rivière à proximité)"
La riviere Kipawa : section Grande Chute-Inukshuk,"Envie de prolonger votre sortie? Ce beau sentier vous permettra de vous retrouver seul en forêt, sous un magnifique couvert forestier avec le grondement du rapide Hollywood de la rivière Kipawa en arrière-plan!  Ce sentier comporte plusieurs montées et descentes, parfait pour ceux et celles qui ne craignent pas de voir leur rythme cardiaque augmenter! Vous pourriez y admirer la Grande-Chute d'un angle qui était jusqu'ici inaccessible!","2,7 km (aller)
1 h 30",Intermédiaire,Accès par le sentier de la Grande Chute ou par le sentier de l'Inukshuk,Non
L'Inukshuk,"Ce sentier offre de magnifiques points de vue, alors qu’il frôle des parois de roc, traverse une cédrière et donne accès aux berges du lac Témiscamingue, par l’entremise d’un spectaculaire escalier de pierres.","2,4 km (aller-retour)
1 h",Intermédiaire,Stationnement de l’Inukshuk. Accès par le chemin de la rivière Kipawa.,Non
La Paroi-aux-Faucons,"Magnifique sentier facilement accessible pour les poussettes. Il vous mènera près d'une paroi rocheuse, souvent fréquentée par les faucons pèlerins. Levez les yeux vers le ciel et vous pourrez peut-être les apercevoir en plein vol.","1,1 km (boucle)
45 min.",Facile,Stationnement de la Paroi-aux-Faucons. Accès par le chemin de la rivière Kipawa.,"Oui, mais la supervision d'un adulte est recommandée (falaise à proximité)"
"La rivière Kipawa : section Laniel-Broken Bridge
Les chiens sont admis dans ce sentier, selon certaines conditions.","Ce sentier longe la rivière Kipawa et offre plusieurs points de vue sur ses rapides.  Prévoyez des bonnes bottes de marche, quelques petites collations et prenez une pause entre les bouleaux jaunes ou sur des roches afin d'observer ce magnifique cours d'eau.
Recommandé pour les marcheurs expérimentés seulement.","10 km (aller)
6 h",Difficile,"Poste d'accueil à Laniel, accès en arrière du barrage à Laniel ou par le chemin de la rivière Kipawa, à côté du Broken Bridge",Non
"L'Estacade
Les chiens sont admis dans ce sentier, selon certaines conditions.","Piste de randonnée et de vélo qui vous donnera une vue d’ensemble de la Pointe-Opémican. Une belle boucle pour découvrir les principaux attraits et  services du secteur.
Randonnée et vélo de montagne","3 km (boucle)
1 h",Facile,Centre de services de la Pointe-Opémican. Accès par le chemin Opémican.,Oui
Piers,"En gagnant de l'altitude rapidement, ce sentier offre une belle vue sur le Poste de relais d'Opémican, ainsi que sur le lac Témiscamingue. Saurez-vous repérer le petit peuplement de pruches sur le retour?","1,7 km (boucle)
1 h",Intermédiaire,Centre de services de la Pointe-Opémican. Accès par le chemin Opémican.,Oui
De la Prucheraie,Prolongez le plaisir de votre randonnée dans le sentier des Piers en empruntant cette section qui vous emmènera dans une forêt majestueuse.,"1,6 km
45 min.",Intermédiaire,"Centre de services de la
Pointe-Opémican. Accès par le sentier des Piers ou le chemin Jodoin.",Oui
"Des Éclaireurs
Les chiens sont admis dans ce sentier, selon certaines conditions.",Sortez des sentiers battus et partez en randonnée sur le plateau surplombant la Pointe-Opémican. Une belle boucle pour ceux qui veulent s’initier à la longue randonnée.,"5 km (aller)
3 h",Difficile,Centre de services de la Pointe-Opémican. Accès par le chemin Jodoin ou le sentier de la Prucheraie.,Non
"Chemin Jodin
Les chiens sont admis dans ce sentier, selon certaines conditions.","Empruntez l'ancien chemin d'accès de la pointe Opémican pour une belle randonnée en vélo ou à pied. Parfait pour aller promener pitou!
Randonnée et vélo de montagne","4 km (aller-retour)
1 h 30",Intermédiaire,Centre de services de la Pointe-Opémican. Accès par le chemin Opémican.,Non
